JOB TITLES,MATCHING QUALITIES,,,,,,,,,,,,,,,,,,
Accountants and Auditors,"Getting Information
Working with Computers
Communicating with Supervisors, Peers, or Subordinates
Evaluating Information to Determine Compliance with Standards
Documenting/Recording Information
Processing Information
Making Decisions and Solving Problems
Organizing, Planning, and Prioritizing Work
Establishing and Maintaining Interpersonal Relationships
Analyzing Data or Information
Updating and Using Relevant Knowledge
Communicating with People Outside the Organization
Identifying Objects, Actions, and Events
Performing Administrative Activities
Interpreting the Meaning of Information for Others
Training and Teaching Others
Monitoring Processes, Materials, or Surroundings
Coordinating the Work and Activities of Others
Developing and Building Teams
Scheduling Work and Activities
Coaching and Developing Others
Guiding, Directing, and Motivating Subordinates
Thinking Creatively
Developing Objectives and Strategies
Providing Consultation and Advice to Others
Resolving Conflicts and Negotiating with Others
Monitoring and Controlling Resources
Judging the Qualities of Objects, Services, or People
Staffing Organizational Units
Estimating the Quantifiable Characteristics of Products, Events, or Information
Selling or Influencing Others
Assisting and Caring for Others
Performing for or Working Directly with the Public
Written Comprehension
Oral Expression
Deductive Reasoning
Mathematical Reasoning
Number Facility
Written Expression
Problem Sensitivity
Oral Comprehension
Inductive Reasoning
Information Ordering
Near Vision
Speech Recognition
Speech Clarity
Category Flexibility
Selective Attention
Fluency of Ideas
Flexibility of Closure
Originality
Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Attention to Detail
Integrity
Dependability
Analytical Thinking
Cooperation
Stress Tolerance
Persistence
Initiative
Self-Control
Achievement/Effort
Adaptability/Flexibility
Independence
Leadership
Social Orientation
Concern for Others
Innovation",,,,,,,,,,,,,,,,,,
Athletes and Sports Competitors,"Getting Information
Making Decisions and Solving Problems
Analyzing Data or Information
Identifying Objects, Actions, and Events
Performing General Physical Activities
Establishing and Maintaining Interpersonal Relationships
Developing Objectives and Strategies
Communicating with Supervisors, Peers, or Subordinates
Processing Information
Coaching and Developing Others
Updating and Using Relevant Knowledge
Estimating the Quantifiable Characteristics of Products, Events, or Information
Organizing, Planning, and Prioritizing Work
Developing and Building Teams
Evaluating Information to Determine Compliance with Standards
Handling and Moving Objects
Performing for or Working Directly with the Public
Inspecting Equipment, Structures, or Materials
Scheduling Work and Activities
Thinking Creatively
Documenting/Recording Information
Communicating with People Outside the Organization
Coordinating the Work and Activities of Others
Monitoring Processes, Materials, or Surroundings
Controlling Machines and Processes
Providing Consultation and Advice to Others
Judging the Qualities of Objects, Services, or People
Monitoring and Controlling Resources
Resolving Conflicts and Negotiating with Others
Training and Teaching Others
Interpreting the Meaning of Information for Others
Guiding, Directing, and Motivating Subordinates
Operating Vehicles, Mechanized Devices, or Equipment
Selling or Influencing Others
Assisting and Caring for Others
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Repairing and Maintaining Mechanical Equipment
Working with Computers
Staffing Organizational Units
Repairing and Maintaining Electronic Equipment
Performing Administrative Activities
Realistic
Enterprising
Social
Attention to Detail
Stress Tolerance
Achievement/Effort
Self-Control
Persistence
Initiative
Integrity
Dependability
Leadership
Cooperation
Adaptability/Flexibility
Social Orientation
Concern for Others
Independence
Analytical Thinking
Innovation",,,,,,,,,,,,,,,,,,
Chiropractors,"Assisting and Caring for Others
Documenting/Recording Information
Getting Information
Making Decisions and Solving Problems
Updating and Using Relevant Knowledge
Identifying Objects, Actions, and Events
Performing General Physical Activities
Performing for or Working Directly with the Public
Oral Comprehension
Written Comprehension
Oral Expression
Problem Sensitivity
Deductive Reasoning
Inductive Reasoning
Written Expression
Information Ordering
Speech Clarity
Near Vision
Speech Recognition
Trunk Strength
Category Flexibility
Flexibility of Closure
Arm-Hand Steadiness
Multilimb Coordination
Fluency of Ideas
Selective Attention
Finger Dexterity
Originality
Speed of Closure
Perceptual Speed
Visualization
Manual Dexterity
Static Strength
Memorization
Time Sharing
Control Precision
Extent Flexibility
Mathematical Reasoning
Dynamic Strength
Number Facility
Gross Body Coordination
Far Vision
Wrist-Finger Speed
Stamina
Response Orientation
Reaction Time
Depth Perception
Gross Body Equilibrium
Hearing Sensitivity
Auditory Attention
Rate Control
Speed of Limb Movement
Visual Color Discrimination
Explosive Strength
Processing Information
Communicating with Supervisors, Peers, or Subordinates
Establishing and Maintaining Interpersonal Relationships
Working with Computers
Interpreting the Meaning of Information for Others
Developing Objectives and Strategies
Organizing, Planning, and Prioritizing Work
Monitoring and Controlling Resources
Evaluating Information to Determine Compliance with Standards
Scheduling Work and Activities
Performing Administrative Activities
Communicating with People Outside the Organization
Selling or Influencing Others
Coordinating the Work and Activities of Others
Developing and Building Teams
Analyzing Data or Information
Handling and Moving Objects
Monitoring Processes, Materials, or Surroundings
Judging the Qualities of Objects, Services, or People
Resolving Conflicts and Negotiating with Others
Guiding, Directing, and Motivating Subordinates
Thinking Creatively
Training and Teaching Others
Providing Consultation and Advice to Others
Coaching and Developing Others
Staffing Organizational Units
Controlling Machines and Processes
Estimating the Quantifiable Characteristics of Products, Events, or Information
Inspecting Equipment, Structures, or Materials
Repairing and Maintaining Electronic Equipment
Repairing and Maintaining Mechanical Equipment
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Operating Vehicles, Mechanized Devices, or Equipment
Social
Investigative
Realistic
Concern for Others
Integrity
Self-Control
Leadership
Dependability
Cooperation
Stress Tolerance
Attention to Detail
Independence
Initiative
Analytical Thinking
Social Orientation
Persistence
Adaptability/Flexibility
Achievement/Effort
Innovation",,,,,,,,,,,,,,,,,,
Computer Programmers,"Working with Computers
Processing Information
Getting Information
Analyzing Data or Information
Making Decisions and Solving Problems
Thinking Creatively
Identifying Objects, Actions, and Events
Updating and Using Relevant Knowledge
Communicating with Supervisors, Peers, or Subordinates
Estimating the Quantifiable Characteristics of Products, Events, or Information
Documenting/Recording Information
Developing Objectives and Strategies
Organizing, Planning, and Prioritizing Work
Evaluating Information to Determine Compliance with Standards
Developing and Building Teams
Interpreting the Meaning of Information for Others
Monitoring Processes, Materials, or Surroundings
Establishing and Maintaining Interpersonal Relationships
Providing Consultation and Advice to Others
Coordinating the Work and Activities of Others
Judging the Qualities of Objects, Services, or People
Communicating with People Outside the Organization
Training and Teaching Others
Coaching and Developing Others
Inspecting Equipment, Structures, or Materials
Guiding, Directing, and Motivating Subordinates
Monitoring and Controlling Resources
Scheduling Work and Activities
Assisting and Caring for Others
Selling or Influencing Others
Resolving Conflicts and Negotiating with Others
Performing Administrative Activities
Repairing and Maintaining Electronic Equipment
Staffing Organizational Units
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Controlling Machines and Processes
Performing General Physical Activities
Performing for or Working Directly with the Public
Handling and Moving Objects
Repairing and Maintaining Mechanical Equipment
Written Comprehension
Oral Comprehension
Near Vision
Problem Sensitivity
Deductive Reasoning
Inductive Reasoning
Information Ordering
Oral Expression
Written Expression
Speech Recognition
Mathematical Reasoning
Number Facility
Selective Attention
Speech Clarity
Fluency of Ideas
Originality
Flexibility of Closure
Category Flexibility
Perceptual Speed
Visualization
Far Vision
Memorization
Time Sharing
Finger Dexterity
Speed of Closure
Arm-Hand Steadiness
Manual Dexterity
Visual Color Discrimination
Auditory Attention
Control Precision
Investigative
Conventional
Realistic
Attention to Detail
Analytical Thinking
Integrity
Cooperation
Independence
Achievement/Effort
Initiative
Persistence
Dependability
Self-Control
Adaptability/Flexibility
Innovation
Stress Tolerance
Concern for Others
Leadership
Social Orientation",,,,,,,,,,,,,,,,,,
Dietitians and Nutritionists,"Assisting and Caring for Others
Getting Information
Updating and Using Relevant Knowledge
Documenting/Recording Information
Working with Computers
Interpreting the Meaning of Information for Others
Making Decisions and Solving Problems
Establishing and Maintaining Interpersonal Relationships
Analyzing Data or Information
Organizing, Planning, and Prioritizing Work
Training and Teaching Others
Providing Consultation and Advice to Others
Processing Information
Communicating with Supervisors, Peers, or Subordinates
Communicating with People Outside the Organization
Identifying Objects, Actions, and Events
Evaluating Information to Determine Compliance with Standards
Coaching and Developing Others
Performing for or Working Directly with the Public
Developing Objectives and Strategies
Thinking Creatively
Monitoring Processes, Materials, or Surroundings
Performing Administrative Activities
Scheduling Work and Activities
Resolving Conflicts and Negotiating with Others
Guiding, Directing, and Motivating Subordinates
Coordinating the Work and Activities of Others
Monitoring and Controlling Resources
Developing and Building Teams
Judging the Qualities of Objects, Services, or People
Selling or Influencing Others
Estimating the Quantifiable Characteristics of Products, Events, or Information
Staffing Organizational Units
Inspecting Equipment, Structures, or Materials
Performing General Physical Activities
Handling and Moving Objects
Controlling Machines and Processes
Oral Comprehension
Written Comprehension
Oral Expression
Written Expression
Problem Sensitivity
Deductive Reasoning
Inductive Reasoning
Speech Clarity
Category Flexibility
Information Ordering
Speech Recognition
Originality
Near Vision
Fluency of Ideas
Mathematical Reasoning
Number Facility
Selective Attention
Flexibility of Closure
Perceptual Speed
Memorization
Far Vision
Time Sharing
Visualization
Visual Color Discrimination
Speed of Closure
Auditory Attention
Finger Dexterity
Trunk Strength
Hearing Sensitivity
Depth Perception
Wrist-Finger Speed
Investigative
Social
Enterprising
Realistic
Artistic
Conventional
Integrity
Concern for Others
Dependability
Attention to Detail
Cooperation
Analytical Thinking
Initiative
Self-Control
Social Orientation
Independence
Adaptability/Flexibility
Achievement/Effort
Leadership
Stress Tolerance
Persistence
Innovation",,,,,,,,,,,,,,,,,,
"Education Teachers, Postsecondary","Training and Teaching Others
Getting Information
Organizing, Planning, and Prioritizing Work
Judging the Qualities of Objects, Services, or People
Making Decisions and Solving Problems
Communicating with Supervisors, Peers, or Subordinates
Coaching and Developing Others
Thinking Creatively
Working with Computers
Establishing and Maintaining Interpersonal Relationships
Monitoring Processes, Materials, or Surroundings
Updating and Using Relevant Knowledge
Interpreting the Meaning of Information for Others
Developing Objectives and Strategies
Identifying Objects, Actions, and Events
Processing Information
Documenting/Recording Information
Analyzing Data or Information
Communicating with People Outside the Organization
Evaluating Information to Determine Compliance with Standards
Scheduling Work and Activities
Coordinating the Work and Activities of Others
Developing and Building Teams
Providing Consultation and Advice to Others
Performing Administrative Activities
Guiding, Directing, and Motivating Subordinates
Assisting and Caring for Others
Staffing Organizational Units
Resolving Conflicts and Negotiating with Others
Estimating the Quantifiable Characteristics of Products, Events, or Information
Performing for or Working Directly with the Public
Monitoring and Controlling Resources
Selling or Influencing Others
Inspecting Equipment, Structures, or Materials
Operating Vehicles, Mechanized Devices, or Equipment
Performing General Physical Activities
Social
Artistic
Investigative
Enterprising
Analytical Thinking
Achievement/Effort
Initiative
Integrity
Dependability
Persistence
Independence
Cooperation
Attention to Detail
Self-Control
Leadership
Concern for Others
Adaptability/Flexibility
Stress Tolerance
Innovation
Social Orientation
Conventional
Oral Expression
Speech Clarity
Oral Comprehension
Written Comprehension
Written Expression
Deductive Reasoning
Inductive Reasoning
Near Vision
Speech Recognition
Problem Sensitivity
Fluency of Ideas
Originality
Information Ordering
Category Flexibility
Selective Attention
Far Vision
Memorization
Mathematical Reasoning
Number Facility
Speed of Closure
Flexibility of Closure",,,,,,,,,,,,,,,,,,
Microbiologists,"Getting Information
Documenting/Recording Information
Updating and Using Relevant Knowledge
Processing Information
Identifying Objects, Actions, and Events
Working with Computers
Analyzing Data or Information
Communicating with Supervisors, Peers, or Subordinates
Interpreting the Meaning of Information for Others
Making Decisions and Solving Problems
Monitoring Processes, Materials, or Surroundings
Organizing, Planning, and Prioritizing Work
Evaluating Information to Determine Compliance with Standards
Training and Teaching Others
Scheduling Work and Activities
Establishing and Maintaining Interpersonal Relationships
Coaching and Developing Others
Thinking Creatively
Guiding, Directing, and Motivating Subordinates
Communicating with People Outside the Organization
Inspecting Equipment, Structures, or Materials
Controlling Machines and Processes
Estimating the Quantifiable Characteristics of Products, Events, or Information
Developing Objectives and Strategies
Providing Consultation and Advice to Others
Performing Administrative Activities
Judging the Qualities of Objects, Services, or People
Handling and Moving Objects
Monitoring and Controlling Resources
Coordinating the Work and Activities of Others
Developing and Building Teams
Staffing Organizational Units
Resolving Conflicts and Negotiating with Others
Performing General Physical Activities
Assisting and Caring for Others
Repairing and Maintaining Electronic Equipment
Repairing and Maintaining Mechanical Equipment
Selling or Influencing Others
Operating Vehicles, Mechanized Devices, or Equipment
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Performing for or Working Directly with the Public
Written Comprehension
Inductive Reasoning
Written Expression
Oral Comprehension
Oral Expression
Problem Sensitivity
Deductive Reasoning
Information Ordering
Category Flexibility
Fluency of Ideas
Flexibility of Closure
Near Vision
Selective Attention
Speech Recognition
Originality
Speech Clarity
Mathematical Reasoning
Number Facility
Perceptual Speed
Visualization
Finger Dexterity
Visual Color Discrimination
Speed of Closure
Arm-Hand Steadiness
Control Precision
Far Vision
Manual Dexterity
Memorization
Time Sharing
Multilimb Coordination
Trunk Strength
Depth Perception
Rate Control
Reaction Time
Wrist-Finger Speed
Static Strength
Hearing Sensitivity
Auditory Attention
Response Orientation
Investigative
Realistic
Conventional
Enterprising
Social
Artistic
Attention to Detail
Integrity
Analytical Thinking
Dependability
Cooperation
Persistence
Initiative
Adaptability/Flexibility
Achievement/Effort
Stress Tolerance
Independence
Self-Control
Concern for Others
Leadership
Innovation
Social Orientation",,,,,,,,,,,,,,,,,,
Actors,"Establishing and Maintaining Interpersonal Relationships
Thinking Creatively
Performing for or Working Directly with the Public
Performing General Physical Activities
Communicating with Supervisors, Peers, or Subordinates
Getting Information
Communicating with People Outside the Organization
Identifying Objects, Actions, and Events
Handling and Moving Objects
Monitoring Processes, Materials, or Surroundings
Organizing, Planning, and Prioritizing Work
Making Decisions and Solving Problems
Documenting/Recording Information
Training and Teaching Others
Assisting and Caring for Others
Scheduling Work and Activities
Interpreting the Meaning of Information for Others
Resolving Conflicts and Negotiating with Others
Coordinating the Work and Activities of Others
Developing and Building Teams
Coaching and Developing Others
Judging the Qualities of Objects, Services, or People
Updating and Using Relevant Knowledge
Guiding, Directing, and Motivating Subordinates
Inspecting Equipment, Structures, or Materials
Working with Computers
Developing Objectives and Strategies
Estimating the Quantifiable
Characteristics of Products, Events, or Information
Analyzing Data or Information
Selling or Influencing Others
Providing Consultation and Advice to Others 
Performing Administrative Activities
Monitoring and Controlling Resources
Evaluating Information to Determine
Compliance with Standards 
Processing Information
Controlling Machines and Processes
Operating Vehicles, Mechanized Devices, or Equipment
Staffing Organizational Units
Repairing and Maintaining Mechanical Equipment
Drafting, Laying Out, and Specifying
Technical Devices, Parts, and Equipment
Repairing and Maintaining Electronic Equipment
Oral Expression
Oral Comprehension
Written Comprehension
Memorization
Speech Clarity
Originality
Near Vision
Problem Sensitivity
Fluency of Ideas
Selective Attention
Speech Recognition
Written Expression
Deductive Reasoning
Inductive Reasoning
Information Ordering
Category Flexibility
Time Sharing
Visualization
Trunk Strength
Far Vision
Flexibility of Closure
Gross Body Coordination
Speed of Closure
Perceptual Speed
Arm-Hand Steadiness
Manual Dexterity
Finger Dexterity
Multilimb Coordination
Static Strength
Dynamic Strength
Stamina
Extent Flexibility
Gross Body Equilibrium
Visual Color Discrimination
Auditory Attention
Glare Sensitivity
Hearing Sensitivity
Explosive Strength
Number Facility
Wrist-Finger Speed
Mathematical Reasoning
Spatial Orientation
Control Precision
Response Orientation
Rate Control
Reaction Time
Speed of Limb Movement
Dynamic Flexibility
Night Vision
Peripheral Vision
Depth Perception
Sound Localization
Artistic
Enterprising
Social
Realistic
Conventional
Investigative
Cooperation
Persistence
Initiative
Social Orientation
Adaptability/Flexibility
Dependability
Achievement/Effort
Stress Tolerance
Self-Control
Concern for Others
Attention to Detail
Integrity
Independence
Leadership
Analytical Thinking
",,,,,,,,,,,,,,,,,,
Lawyers,"Getting Information
Evaluating Information to Determine Compliance with Standards
Making Decisions and Solving Problems
Resolving Conflicts and Negotiating with Others
Providing Consultation and Advice to Others
Interpreting the Meaning of Information for Others
Identifying Objects, Actions, and Events
Updating and Using Relevant Knowledge
Processing Information
Working with Computers
Establishing and Maintaining
Interpersonal Relationships
Communicating with People Outside the Organization
Analyzing Data or Information
Documenting/Recording Information
Judging the Qualities of Objects, Services, or People
Organizing, Planning, and Prioritizing Work
Thinking Creatively
Performing for or Working Directly with the Public
Performing Administrative Activities
Scheduling Work and Activities
Communicating with Supervisors, Peers, or Subordinates
Selling or Influencing Others
Monitoring Processes, Materials, or Surroundings
Coordinating the Work and Activities of Others
Developing and Building Teams
Estimating the Quantifiable Characteristics of Products, Events, or Information
Developing Objectives and Strategies
Guiding, Directing, and Motivating Subordinates
Training and Teaching Others
Monitoring and Controlling Resources
Assisting and Caring for Others
Coaching and Developing Others
Inspecting Equipment, Structures, or Materials
Staffing Organizational Units
Repairing and Maintaining Electronic Equipment
Controlling Machines and Processes
Handling and Moving Objects
Performing General Physical Activities
Operating Vehicles, Mechanized Devices, or Equipment
Repairing and Maintaining Mechanical Equipment
Drafting, Laying Out, and Specifying
Technical Devices, Parts, and Equipment
Oral Expression
Oral Comprehension
Written Comprehension
Speech Clarity
Written Expression
Deductive Reasoning
Inductive Reasoning
Problem Sensitivity
Information Ordering
Near Vision
Fluency of Ideas
Category Flexibility
Originality
Selective Attention
Speech Recognition
Memorization
Far Vision
Speed of Closure
Flexibility of Closure
Time Sharing
Mathematical Reasoning
Enterprising
Investigative
Artistic
Conventional
Social
Realistic
Dependability
Analytical Thinking
Integrity
Attention to Detail
Stress Tolerance
Initiative
Self-Control
Achievement/Effort
Persistence
Adaptability/Flexibility
Cooperation
Independence
Concern for Others
Leadership
Social Orientation
Innovation
 ",,,,,,,,,,,,,,,,,,
Recycling Coordinators,"Making Decisions and Solving Problems
Communicating with Supervisors, Peers, or Subordinates
Scheduling Work and Activities
Communicating with People Outside the Organization
Organizing, Planning, and Prioritizing Work
Working with Computers
Documenting/Recording Information
Getting Information
Processing Information
Establishing and Maintaining Interpersonal Relationships
Judging the Qualities of Objects, Services, or People
Resolving Conflicts and Negotiating with Others
Evaluating Information to Determine Compliance with Standards
Coordinating the Work and Activities of Others
Updating and Using Relevant Knowledge
Developing Objectives and Strategies
Selling or Influencing Others
Guiding, Directing, and Motivating Subordinates
Developing and Building Teams
Monitoring Processes, Materials, or Surroundings
Analyzing Data or Information
Performing for or Working Directly with the Public
Training and Teaching Others
Coaching and Developing Others
Thinking Creatively
Monitoring and Controlling Resources
Performing Administrative Activities
Inspecting Equipment, Structures, or Materials
Estimating the Quantifiable Characteristics of Products, Events, or Information
Operating Vehicles, Mechanized Devices, or Equipment
Interpreting the Meaning of Information for Others
Staffing Organizational Units
Identifying Objects, Actions, and Events
Providing Consultation and Advice to Others
Handling and Moving Objects
Assisting and Caring for Others
Controlling Machines and Processes
Performing General Physical Activities
Repairing and Maintaining Mechanical Equipment
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Repairing and Maintaining Electronic Equipment
Oral Comprehension
Oral Expression
Speech Recognition
Speech Clarity
Deductive Reasoning
Information Ordering
Written Comprehension
Problem Sensitivity
Inductive Reasoning
Near Vision
Category Flexibility
Written Expression
Selective Attention
Fluency of Ideas
Mathematical Reasoning
Number Facility
Flexibility of Closure: The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.
Cooperation
Dependability
Leadership
Attention to Detail
Self-Control
Adaptability/Flexibility
Independence
Initiative
Stress Tolerance
Concern for Others
Integrity
Achievement/Effort
Persistence
Innovation
Analytical Thinking
Social Orientation
Cooperation
Dependability
Leadership
Attention to Detail
Self-Control
Adaptability/Flexibility
Independence
Initiative
Stress Tolerance
Concern for Others
Integrity
Achievement/Effort
Persistence
Innovation
Analytical Thinking
Social Orientation
 
 ",,,,,,,,,,,,,,,,,,
Sociologists,"Getting Information
Analyzing Data or Information
Processing Information
Interpreting the Meaning of Information for Others
Updating and Using Relevant Knowledge
Thinking Creatively
Working with Computers
Training and Teaching Others
Documenting/Recording Information
Identifying Objects, Actions, and Events
Organizing, Planning, and Prioritizing Work
Making Decisions and Solving Problems
Communicating with Supervisors, Peers, or Subordinates
Communicating with People Outside the Organization
Establishing and Maintaining Interpersonal Relationships
Judging the Qualities of Objects, Services, or People
Developing Objectives and Strategies
Estimating the Quantifiable Characteristics of Products, Events, or Information
Coordinating the Work and Activities of Others
Scheduling Work and Activities
Providing Consultation and Advice to Others
Coaching and Developing Others
 Monitoring Processes, Materials, or Surroundings
Performing for or Working Directly with the Public
Guiding, Directing, and Motivating Subordinates
Evaluating Information to Determine Compliance with Standards
Performing Administrative Activities
Developing and Building Teams
Resolving Conflicts and Negotiating with Others
Monitoring and Controlling Resources
Assisting and Caring for Others
Staffing Organizational Units
Selling or Influencing Others
Inspecting Equipment, Structures, or Materials
Performing General Physical Activities
Controlling Machines and Processes
Handling and Moving Objects
Repairing and Maintaining Electronic Equipment
Operating Vehicles, Mechanized Devices, or Equipment
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Repairing and Maintaining MechanicalEquipment
Oral Comprehension
Oral Expression
Written Comprehension
Written Expression
Inductive Reasoning
Deductive Reasoning
Speech Clarity
Near Vision
Speech Recognition
Problem Sensitivity
Category Flexibility
Fluency of Ideas
Originality
Information Ordering
Mathematical Reasoning
Investigative
Artistic
Social
Conventional
Realistic
Enterprising",,,,,,,,,,,,,,,,,,"Analytical Thinking
Persistence
Initiative
Achievement/Effort
Integrity
Independence
Attention to Detail
Innovation
Stress Tolerance
Social Orientation
Dependability
Adaptability/Flexibility
Concern for Others
Self-Control
Cooperation
Leadership
 "
Surgical Assistants,"Assisting and Caring for Others
Identifying Objects, Actions, and Events
Making Decisions and Solving Problems
Monitoring Processes, Materials, or Surroundings
Getting Information
Communicating with Supervisors, Peers, or Subordinates
Establishing and Maintaining Interpersonal Relationships
Inspecting Equipment, Structures, or Materials
Performing General Physical Activities
Handling and Moving Objects
Updating and Using Relevant Knowledge
Evaluating Information to Determine Compliance with Standards
Organizing, Planning, and Prioritizing Work
Controlling Machines and Processes
Performing for or Working Directly with the Public
Judging the Qualities of Objects, Services, or People
Documenting/Recording Information
Processing Information
Interpreting the Meaning of Information for Others
Training and Teaching Others
Estimating the Quantifiable Characteristics of Products, Events, or Information
Working with Computers
Developing and Building Teams
Thinking Creatively
Coaching and Developing Others
Providing Consultation and Advice to Others
Analyzing Data or Information
Resolving Conflicts and Negotiating with Others
Developing Objectives and Strategies
Guiding, Directing, and Motivating Subordinates
Communicating with People Outside the Organization
Coordinating the Work and Activities of Others
Scheduling Work and Activities
Monitoring and Controlling Resources
Performing Administrative Activities
Selling or Influencing Others
Repairing and Maintaining Electronic Equipment
Operating Vehicles, Mechanized Devices, or Equipment
Repairing and Maintaining Mechanical Equipment
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
Staffing Organizational Units
Oral Comprehension
Arm-Hand Steadiness
Finger Dexterity
Near Vision
Oral Expression
Problem Sensitivity
Speech Clarity
Written Comprehension
Visual Color Discrimination
Speech Recognition
Information Ordering
Control Precision
Deductive Reasoning
Inductive Reasoning
Selective Attention
Manual Dexterity
Perceptual Speed
Multilimb Coordination
Written Expression
Flexibility of Closure
Hearing Sensitivity
Category Flexibility
Visualization
Reaction Time
Trunk Strength
Auditory Attention
Memorization
Speed of Closure
Time Sharing
Wrist-Finger Speed
Static Strength
 Conventional
Social
Realistic
Investigative
Enterprising
Artistic
Self-Control
Dependability
Attention to Detail
Integrity
Stress Tolerance
Concern for Others
Adaptability/Flexibility
Cooperation
Achievement/Effort
Persistence
Initiative
Independence
Social Orientation
Analytical Thinking
Leadership
Innovation
 ",,,,,,,,,,,,,,,,,,
