JOB TITLES,DETAILED WORK ACTIVITIES (JD),KNOWLEDGE(COURSE RECOMMENDATION),TECHNOLOGY SKILLS,AVERAGE SALARY,TRAINING & CREDENTIALS(UNIVERSITIES)
Accountants and Auditors,"Prepare financial documents, reports, or budgets.
Advise others on financial matters.
Report information to managers or other personnel.
Advise others on business or operational matters.
Examine financial records.
Collect evidence for legal proceedings.
Investigate legal issues.
Oversee business processes.
Examine financial records or processes.
Discuss business strategies, practices, or policies with managers.
Analyze business or financial data.
Prepare financial documents.
Verify accuracy of records.
Verify accuracy of financial information.
Analyze financial information.
Conduct financial or regulatory audits.
Calculate tax information.
Advise others on human resources topics.
Represent the interests of clients in legal proceedings.
Develop business or financial information systems.
Assess financial status of clients.
Coordinate regulatory documentation activities.
Evaluate effectiveness of personnel policies or practices.
Analyze budgetary or accounting data.
Pay charges, fees, or taxes.
Prepare operational budgets.","Economics and Accounting
English Language
Mathematics
Administration and Management
Customer and Personal Service
Law and Government
Administrative
Computers and Electronics
Personnel and Human Resources
Education and Training
Communications and Media
Sales and Marketing
Telecommunications","Intuit QuickBooks 
Sage 50 Accounting
Google Docs
Microsoft Word
Oracle E-Business Suite Financials
Tropics workers' compensation software",78000,
Athletes and Sports Competitors,"Evaluate skills of athletes or performers.
Practice athletic or artistic skills.
Participate in athletic events.
Promote products, activities, or organizations.
Coach others.","Administration and Management
English Language
Customer and Personal Service
Personnel and Human Resources
Communications and Media
Education and Training
Sales and Marketing
Mathematics
Administrative
Economics and Accounting
Public Safety and Security
Mechanical
Computers and Electronics
Psychology
Transportation
Production and Processing
Foreign Language
Telecommunications
Engineering and Technology
Design
Therapy and Counseling
Physics
","Microsoft Excel
YouTube
Email software",94720,
Chiropractors,"Examine patients to assess general physical condition.
Record patient medical histories.
Collect medical information from patients, family members, or other medical professionals.
Diagnose medical conditions.
Gather medical information from patient histories.
Treat patients using physical therapy techniques.
Advise patients on effects of health conditions or treatments.
Analyze test data or images to inform diagnosis or treatment.
Provide health and wellness advice to patients, program participants, or caregivers.
Collaborate with healthcare professionals to plan or provide treatment.
Refer patients to other healthcare practitioners or health resources.
Schedule patient procedures or appointments.
Apply bandages, dressings, or splints.
Recommend types of assistive devices.","Medicine and Dentistry
English Language
Customer and Personal Service
Biology
Psychology
Administration and Management
Administrative
Personnel and Human Resources
Therapy and Counseling
Education and Training
Sales and Marketing
Computers and Electronics
Economics and Accounting
Sociology and Anthropology
Law and Government
Mathematics
Philosophy and Theology
Public Safety and Security
Communications and Media
Chemistry
Production and Processing
Engineering and Technology
Mechanical
Physics
Telecommunications
Design
Foreign Language
Geography
History and Archeology","Advantage Software Chiropractic Advantage
Versatile Software Systems VersaSoft Chiro
Billing software
EZClaim medical billing software",75380,
Computer Programmers,"Modify software programs to improve performance.
Write computer programming code.
Test software performance.
Resolve computer software problems.
Collaborate with others to resolve information technology issues.
Develop diagrams or flow charts of system operation.
Develop models of information or communications systems.
Document design or development procedures.
Train others in computer interface or software use.
Test computer system operations to ensure proper functioning.
Prepare instruction manuals.
Assign duties or work schedules to employees.
Manage information technology projects or system activities.
Supervise information technology personnel.
Design websites or web applications.
Develop computer or online applications.
Teach others to use computer equipment or hardware.
Coordinate project activities with other personnel or departments.","Computers and Electronics
Mathematics
Engineering and Technology
English Language
Customer and Personal Service
Administration and Management
Design
Education and Training
Administrative
Geography
Production and Processing
Economics and Accounting
Communications and Media
Telecommunications
Physics
Sales and Marketing
Psychology
Personnel and Human Resources
Sociology and Anthropology","Apache Kafka
Apache Maven
Microsoft PowerPoint
Apache Spark
Objective C",97800,
Dietitians and Nutritionists,"Analyze patient data to determine patient needs or treatment goals.
Monitor nutrition related activities of individuals or groups.
Analyze laboratory findings.
Provide health and wellness advice to patients, program participants, or caregivers.
Interpret cultural or religious information for others.
Collaborate with healthcare professionals to plan or provide treatment.
Compile data or documentation.
Create new recipes or food presentations.
Plan menu options.
Direct healthcare delivery programs.
Advise communities or institutions regarding health or safety issues.
Manage healthcare operations.
Supervise medical support personnel.
Train caregivers or other non-medical personnel.
Monitor medical facility activities to ensure adherence to standards or regulations.
Prepare healthcare training materials.
Manage preparation of special meals or diets.
Conduct health or safety training programs.
Conduct research to increase knowledge about medical issues.
Train medical providers.
Order medical supplies or equipment.
Design public or employee health programs.
Devise research or testing protocols.
Evaluate data quality.
Present medical research reports.
Consult with others regarding safe or healthy equipment or facilities.","Biology
Medicine and Dentistry
English Language
Therapy and Counseling
Customer and Personal Service
Psychology
Education and Training
Mathematics
Computers and Electronics
Chemistry
Sociology and Anthropology
Food Production
Administration and Management
Administrative
Communications and Media
Sales and Marketing
Personnel and Human Resources
Economics and Accounting
Public Safety and Security
Law and Government
Telecommunications
Philosophy and Theology
Foreign Language","Microsoft Excel
Skype
Axxya Systems Nutritionist Pro
Monash University Low FODMAP Diet App",66450,
,"Research topics in area of expertise.
Develop instructional materials.
Write articles, books or other original materials in area of expertise.
Evaluate student work.
Administer tests to assess educational needs or progress.
Attend training sessions or professional meetings to develop or maintain professional knowledge.
Prepare tests.
Stay informed about current developments in field of specialization.
Supervise student research or internship work.
Guide class discussions.
Develop instructional objectives.
Evaluate effectiveness of educational programs.
Advise students on academic or career matters.
Perform student enrollment or registration activities.
Promote educational institutions or programs.
Maintain student records.
Direct department activities.
Order instructional or library materials or equipment.
Select educational materials or equipment.
Serve on institutional or departmental committees.
Collaborate with other agencies and institutions to coordinate educational matters.
Write grant proposals.
Advise educators on curricula, instructional methods, or policies.
Train staff members.
Plan community programs or activities for the general public.
Compile specialized bibliographies or lists of materials.","Education and Training
English Language
Psychology
Sociology and Anthropology
Administration and Management
Communications and Media
Mathematics
Customer and Personal Service
Personnel and Human Resources
Computers and Electronics
Philosophy and Theology
Therapy and Counseling
Administrative
Law and Government
History and Archeology
Telecommunications
Public Safety and Security
Biology","Learning management system LMS
Padlet
Email software
Microsoft Outlook",66930,
Microbiologists,"Cultivate micro-organisms for study, testing, or medical preparations.
Prepare biological samples for testing or analysis.
Research microbiological or chemical processes or structures.
Analyze biological samples.
Classify organisms based on their characteristics or behavior.
Prepare scientific or technical reports or presentations.
Research diseases or parasites.
Supervise scientific or technical personnel.
Inspect condition of natural environments.
Monitor environmental impacts of production or development activities.
Operate laboratory or field equipment.
Develop new or advanced products or production methods.
Examine characteristics or behavior of living organisms.
Analyze chemical compounds or substances.","Biology
English Language
Chemistry
Mathematics
Computers and Electronics
Education and Training
Administration and Management
Medicine and Dentistry
Public Safety and Security
Administrative
Customer and Personal Service
Law and Government
Personnel and Human Resources
Engineering and Technology
Communications and Media
Production and Processing
Mechanical
Physics
Food Production
Telecommunications
Economics and Accounting
Geography
Transportation
Psychology
Design
History and Archeology
Sociology and Anthropology","Database management software
Microsoft Access
Mircorsoft Powerpoint
BD Biosciences CellQuest
Verity Software House ModFit LT",81990,
Actors,"Collaborate with others to prepare or perform artistic productions.
Entertain public with comedic or dramatic performances.
Study scripts to determine project requirements.
Practice athletic or artistic skills.
Audition for roles.
Perform music for the public.
Collaborate with others to determine technical details of productions.
Promote products, activities, or organizations.
Write material for artistic or entertainment purposes.
Inform viewers, listeners, or audiences.
Construct distinctive physical objects for artistic, functional, or commercial purposes.","Fine Arts
English Language
Communications and Media
Sociology and Anthropology
Psychology
Customer and Personal Service
Sales and Marketing
Education and Training
History and Archeology
Administration and Management
Philosophy and Theology
Design","Email software
Microsoft Outlook
Twitter
Microsoft Office software
Zoom
Apple Final Cut Pro
Motion capture software
TikTok
YouTube
Facebook
Instagram
LinkedIn",37315,"1. Consider local gigs: While major markets like New York City, Los Angeles and Chicago might offer more opportunities, they're also home to a greater number of actors. These cities are very competitive, and it could be beneficial to start your career in a smaller city and gain more experience before moving. Check local websites and businesses for information about local theaters in your area where you can gain some initial experience as an actor. 
2. Take acting classes: There are a number of different workshops and camps in which you can enroll. The important thing is to get started. Acting instructors can help you develop your technique, improve your confidence and gain some general knowledge before your first auditions.
3. Further your formal education: Once you have some foundational knowledge, start looking for more formal education. You can find acting teachers in a variety of different places. Research local community colleges and universities that offer night classes to identify one that works for your schedule. This may also help you gain valuable experience since you may be able to participate in student films, commercials and media projects.
4. Join a local theater: Your community theater is a valuable place to get started. You can build your confidence while mastering the basics, forming relationships with other actors and becoming familiar with personnel who are integral to production, like costume designers, lighting technicians and script supervisors.
5. Learn about the industry: Read the Hollywood trade magazines, either in print on online, and learn the names of the top talent agents and production companies. Attend industry events, even if you’re not in Los Angeles or New York, and network with other people who aspire to work in the industry.
6. Build your resume: As you pursue education and gain relevant acting experience, start assembling your resume so that you're ready to apply for acting jobs. Resumes that include acting and non-acting experience, like writing and directing, can help you stand out to potential casting decision-makers. When you do gain some experience as an actor and begin writing your resume, include the names of the plays, musicals, films, commercials or TV shows you participated in and the roles that you played.
7. Get a professional headshot: Casting agents will require headshots and audition tapes so it’s important to hire the best photographers you can afford. Physical appearance is important for a visual industry like acting, where television and film are the primary mediums.
8. Start auditioning: One of the best ways to start as an actor once you have all the required materials is to go to auditions. This way, you can gain some experience throughout various auditioning processes and if you get any roles, then you can gain additional experience to add to your resume. When first starting as an actor, you may focus more on creating work rather than getting paid, but there may exist opportunities for new actors to receive payment for their work in various types of roles. 

No high school diploma/GED usually needed
No bachelor's degree usually needed"
Lawyers,"Identify implications for cases from legal precedents or other legal information.
Provide legal advice to clients.
Represent the interests of clients in legal proceedings.
Interview claimants to get information related to legal proceedings.
Meet with individuals involved in legal processes to provide information and clarify issues.
Research relevant legal materials to aid decision making.
Prepare legal documents.
Arbitrate disputes between parties to resolve legal conflicts.
Supervise activities of other legal personnel.
Prepare documentation of legal proceedings.
Evaluate information related to legal matters in public or personal records.
Draft legislation or regulations.","Law and Government
English Language
Customer and Personal Service
Administration and Management
Personnel and Human Resources
Computers and Electronics
Economics and Accounting
Education and Training
Communications and Media
Mathematics","LexisNexis CaseMap
Microsoft Access
IDEA TrialPro
Microsoft PowerPoint
Adobe Systems Adobe Acrobat Hot Technology
Microsoft Office SharePoint Server MOSS",135740,"1. Earn a bachelor's degree: You'll need to have a bachelor's degree to apply for law school. Law schools accept students with a wide range of degrees. However, some of the most common undergraduate majors include criminal justice, English, economics, philosophy and political science.
Spend your undergraduate time taking classes related to the area of law you think you would like to practice. For example, if you want to practice corporate law, you should take more business courses. The purpose of your undergraduate degree is to give yourself a strong, wide base of knowledge and to explore your interests.
2. Take the Law School Admission Test (LSAT): After earning your bachelor's degree, your next step is to take the LSAT. It consists of five multiple-choice sections that cover topics such as reading comprehension, critical thinking and argumentation, and each section needs to be completed in 35 minutes.
It’s administered at a testing location on a specific date through electronic tablets. After the in-person exam, you’ll also need to complete a written portion that you can submit online from home.
Law school admissions officers will review your LSAT scores and undergraduate history to determine if you’d be a good fit for the program. Many undergraduate students take the LSAT at the end of their junior year so they have enough time to submit law school applications.
It’s beneficial to prepare for the LSAT before taking it. The LSAT tests your skills first and foremost, and it’s a good idea to take practice exams so you can understand the types of questions and how to answer them.
You should spend several months reviewing materials and conducting practice tests before you take the LSAT. The better you perform, the higher chance you have of getting into a top-tier law school.
3. Apply to law school: Once you've received your LSAT scores, you can begin applying to law schools. Most students apply to several law schools so they have a few options to choose from. For each application you send, you'll need to submit official transcripts, LSAT scores, letters of recommendation and additional information.
Many schools seek candidates with high LSAT scores, excellent letters of recommendation and extracurricular activities. Completing an internship at your local courthouse or law firm can further show your dedication to the field. Volunteering with a group in your community can demonstrate your eagerness to learn.
4. Earn a Juris Doctor degree
Once you graduate from law school, you’ll earn a J.D. It takes an average of three years to complete a doctorate in law. Each school has its own curriculum and guidelines for graduation.
In the first two years of law school, you'll typically complete coursework in general studies. During your final year, you can usually take elective courses to start focusing on a specific area of law. Some courses you can expect to take while earning your J.D. are:
- Constitutional law
- Courtroom procedures
- Criminal law
- Civil law
- International law
- Torts
- Property and real estate law
5. Pass the bar examination: The last step in becoming a lawyer is passing the bar examination for whichever state you’d like to practice law in. For example, if you want to become a lawyer in New York, you’ll need to pass the New York State Bar Exam.
While there are some variations from state to state, the bar exam is usually a two-day test. On the first day, you’ll complete the Multistate Bar Examination, and the second day consists of a written exam portion.
Preparing for the bar exam requires a lot of studying. You should create a study schedule that takes place over several months. You’ll also want to find a quality bar exam test preparation course and materials to help, and focus your attention on topics that appear frequently.
After completing the test, the state's bar examiners will consider your test scores along with your educational background, character and ability to represent others in legal matters. Should they find you acceptable in all these categories, you will then receive your law license.

Undergraduate degree & great GPA
Take LSAT & get a competitive score
Earn a Juris Doctor (J.D.) degree from an A.B.A. accredited law school & great GPA
Most statees require that you graduate from an ABA-accredited law school, pass one or more written bar exams, and be found by an admitting board to have the character to represent and advise others. Exact requirements vary by state: look at your local state bar for more information on licensing eligibility requirements."
Recycling Coordinators,"Direct material handling or moving activities.
Direct passenger or freight transport activities.
Record details of deliveries or shipments.
Plan work operations.
Inspect facilities to ensure compliance with safety, quality, or service standards.
Negotiate contracts for transportation, distribution, or logistics services.
Review customer information.
Operate packing or other material processing equipment.
Operate vehicles or material-moving equipment.
Plan implementation or promotion of recycling programs.
Schedule operational activities.
Train transportation or material moving personnel.
Develop program goals or plans.
Investigate crimes committed within organizations.
Explain regulations, policies, or procedures.","Customer and Personal Service
Administration and Management
Education and Training
Production and Processing
Mathematics
English Language
Public Safety and Security
Personnel and Human Resources
Computers and Electronics
Transportation
Law and Government
Economics and Accounting
Mechanical
Sales and Marketing","Microsoft Excel
Microsoft PowerPoint
Email software
Microsoft Outlook",57860,"Bachelor's typically in environmental science or business or public administration and/or sufficient work experience: previous experience working in event management or customer service can help prepare you for the job
Extensive work experience as a Certified Recycling Professional or familiarity with the states Department of Environmental Protection regulations, waste/recycling services, and municipal ordinances may be substituted for educational requirement."
Sociologists,"Conduct research on social issues.
Interpret research or operational data.
Prepare scientific or technical reports or presentations.
Collect information from people through observation, interviews, or surveys.
Develop methods of social or economic research.
Instruct college students in social sciences or humanities disciplines.
Plan social sciences research.
Present research results to others.
Inform viewers, listeners, or audiences.
Present information to the public.
Design psychological or educational treatment procedures or programs.
Advise others on matters of public policy.
Supervise scientific or technical personnel.
Coordinate cross-disciplinary research programs.
Prepare proposals or grant applications to obtain project funding.
Write grant proposals.","Sociology and Anthropology
English Language
Education and Training
Mathematics
History and Archeology
Computers and Electronics
Psychology
Philosophy and Theology
Law and Government
Communications and Media
Administration and Management
Geography
Personnel and Human Resources
Customer and Personal Service
Administrative
Foreign Language
Economics and Accounting
Therapy and Counseling","IBM SPSS Statistics 
SAS
Microsoft PowerPoint
Microsoft Access 
QSR International NVivo",98590,"1. Complete an undergraduate degree: The first step in becoming a sociologist involves obtaining a degree, such as a Bachelor of Arts in Sociology that includes coursework in sociology, social statistics, research methods and social theory. Candidates can also opt for degrees in other disciplines, such as anthropology, psychology or political science, as these are all concerned with human behavior and overlap with the field of sociology. An undergraduate degree typically requires four years of study.
2. Choose a career field: Before you continue your studies, decide whether you want a career in academia, which entails working as a professor or as an independent researcher at a university or an institute, or if you want to enter the workforce.
Studying sociology equips candidates with many useful skills, such as designing research projects, collecting and interpreting data and experience in working with data analysis software. You could apply these skills in many careers, such as those in:
- Business
- Higher education, both in teaching or student services
- Social services
- Government agencies
- Nonprofits
- Scientific research and development services
- Management, scientific and technical consulting services
3. Obtain a master's degree: Once you reach the graduate level, you can choose one of two available programs: traditional or applied. A traditional master's program prepares candidates for a Ph.D. and is the applicable educational path for those who aim to teach at universities or colleges or want to conduct independent research. Candidates who want to enter the workforce should opt for an applied master's degree.
Master's programs vary in requirements and focus but most programs consist of a core set of foundational courses and a thesis or independent research component. The core coursework typically includes classical and contemporary theory, research methodology and statistical analysis. A master's degree typically takes two years of full-time study to complete.
3. Gain practical experience: Master's programs typically provide students with opportunities to gain practical experience through internships. Students who are enrolled in a traditional master's program may work as an assistant for a research sociologist, whereas a candidate who is completing an applied master's degree could conduct interviews for a marketing company.
4. Opt for a Ph.D.: Candidates who wish to enter the world of academia, whether as a lecturer or a researcher, may need to complete a doctoral degree. A Ph.D. program typically focuses on sociological theories and research methods and becoming familiar with the work of important theorists and sociologists. After students have completed their coursework and demonstrated their knowledge in an exam, they write a dissertation that must contain original research. A Ph.D. normally takes between three to four years to complete.
5. Get certified: You can enhance your career by adding certification to your qualifications. The Association for Applied and Clinical Sociology awards two different certifications, including:
- Certified Sociological Practitioner: This certification is given to candidates who have demonstrated their competency as sociological practitioners in the fields of applied, clinical or engaged public sociology.
- Certified Clinical Sociologist: This designation is for sociologists who have applied sociological perspectives and analysis to affect positive social change.
Applicants for both certifications must either hold a master's or a Ph.D. and submit a portfolio that includes their practice background, current practice, ethical position and recommendations from people that know them as practitioners. Selected applicants must give a presentation before final approval. If the panel approves the application, the applicant becomes a certified member and can add the designation to their qualifications."
