JOB TITLES,DETAILED WORK ACTIVITIES (JD),KNOWLEDGE(COURSE RECOMMENDATION),TECHNOLOGY SKILLS,AVERAGE SALARY,TRAINING & CREDENTIALS(UNIVERSITIES)
Surgical Assistants,"Verify accuracy of patient information.
Maintain sterile operative fields.
Position patients for treatment or examination.
Protect patients or staff members using safety equipment.
Operate diagnostic or therapeutic medical instruments or equipment.
Operate on patients to treat conditions.
Apply bandages, dressings, or splints.
Treat acute illnesses, infections, or injuries.
Collaborate with healthcare professionals to plan or provide treatment.
Maintain inventory of medical supplies or equipment.
Implement advanced life support techniques.
Examine medical instruments or equipment to ensure proper operation.
Sterilize medical equipment or instruments.
Assist healthcare practitioners during surgery.
Monitor patient conditions during treatments, procedures, or activities.
Prepare patients physically for medical procedures.
Prepare medical supplies or equipment for use.
Move patients to or from treatment areas.
Administer anesthetics or sedatives to control pain.
Administer intravenous medications.
Administer basic health care or medical treatments.
Administer blood or other fluids intravenously.","Medicine and Dentistry
Customer and Personal Service
English Language
Biology
Education and Training
Computers and Electronics
Public Safety and Security
Psychology","Microsoft Excel
Microsoft PowerPoint
MEDITECH software
Surgery workflow communication software",57290,"1. Choose a preliminary career path: Some surgical assistants may start out as surgical technicians, registered nurses or physician assistants. You will need to choose one of these professions, enroll in the appropriate program and obtain a degree
2. Meet certain education requirements: You will need to earn an associate degree or bachelor's degree in a related medical field as a prerequisite. There will likely be a 3.0 minimum grade point average (GPA) requirement.
3. Gain experience in the surgical field: After obtaining your degree, you will need to find a job that allows you to work in operating rooms. Depending on the surgical assisting program you apply to, you will likely need to have at least three years of operating room experience. Alternatively, if you have experience as a military medic, you may also qualify for a surgical assisting program.
4. Enroll in a surgical assisting program: During your instruction, you will learn about microbiology, anesthesia and pharmacology, among other related fields. A surgical assisting program will take 10 to 22 months to complete and you will receive a certificate, but you will need to meet even more stringent requirements. Additionally, you will need to pass a physical exam, earn certification in cardiopulmonary resuscitation (CPR), obtain health insurance, receive vaccinations, and pass a drug test.
5. Earn certification: Certification is required for surgical assistants. You can receive certification through one of three organizations:
The National Board of Surgical Technology and Surgical Assisting (NBSTSA)
The National Surgical Assistant Association (NSAA)
The American Board of Surgical Assistants (ABSA).
You will have to renew your certification every two years for the NSAA or ABSA and after January 1, 2020, surgical assistants who received their certification from the NBSTSA will need to recertify every two years."
Veterinarians,"Operate on patients to treat conditions.
Prescribe medications.
Treat acute illnesses, infections, or injuries.
Immunize patients.
Examine patients to assess general physical condition.
Collect biological specimens from patients.
Analyze test data or images to inform diagnosis or treatment.
Operate diagnostic imaging equipment.
Communicate health and wellness information to the public.
Counsel family members of clients or patients.
Manage healthcare operations.
Provide health and wellness advice to patients, program participants, or caregivers.
Treat animal injuries or illnesses.
Maintain medical or professional knowledge.
Supervise medical support personnel.
Train medical providers.
Determine protocols for medical procedures.
Conduct research to increase knowledge about medical issues.
Provide care for animals.
Maintain medical facility records.
Perform clerical work in medical settings.
Schedule patient procedures or appointments.
Inspect facilities for cleanliness.
Inspect facilities or sites to determine if they meet specifications or standards.
Develop medical treatment plans.
Drive vehicles to transport individuals or equipment.
Analyze medical data to determine cause of death.","Biology
Medicine and Dentistry
Customer and Personal Service
English Language
Mathematics
Education and Training
Personnel and Human Resources
Chemistry
Administration and Management
Psychology","IDEXX Laboratories IDEXX VPM
Microsoft Access
Microsoft PowerPoint
American Data Systems PAWS Veterinary Practice Management
Vetport",103260,"1. Earn a Bachelor of Science degree in a relevant field: After graduating from high school, earn an undergraduate degree in chemistry, biology, animal biology, zoology or other related scientific studies. Most undergraduate programs take four years to complete and include classes in areas that can prepare you for veterinary programs, such as math, writing and advanced science classes. Check with veterinary programs to find prerequisite and required courses for vet school so you're prepared to enter a DVM program once you graduate college.
2. Apply for veterinary school: The next step to starting a career as a vet is to apply and gain admission at an accredited veterinary school. Most vet programs include four years of study encompassing coursework and hands-on clinical experience to earn your Doctor of Veterinary Medicine (DVM). You also pass the North American Veterinary Licensing Examination (NAVLE) to complete your degree. Some veterinary schools require aspiring veterinarians to complete previous work experience in veterinary clinics or gain experience dealing with animals in an animal shelter, farm, stable or similar environment.
3. Pass licensure exams: Once you've earned your DVM degree, you can apply for licensure in the state where you plan to practice. The process includes passing a certification exam supported by the American Association of Veterinary State Boards (AAVSB). Veterinary school can prepare you for the exam, but independent study can help you strengthen your knowledge and complete practice exam questions.
4. Complete an internship or residency: Many veterinarians choose to complete an internship or residency with a seasoned veterinarian once they obtain a license. This allows new veterinarians to practice with supervision before opening a practice or working independently at an existing practice. Most internships or residencies last for a year and provide opportunities for new vets to learn more about the administrative, business and operational side of veterinary practice. This may include clinical rotations, which give you the opportunity to try out various specializations.
5. Work toward a specialization: Just like traditional medicine, veterinarians can choose to specialize in areas like anesthesia and surgery. Vets may complete in-depth studies in over 40 specialties in animal care and medical treatment. A specialization program can take two or three years to complete, depending on the area of practice.
6. Gain board certification: Finally, some veterinarians choose to become board certified. Board certification is a designation for veterinarians with advanced or specialized training who've passed a rigorous exam demonstrating their knowledge. Each specialty has its organization that administers certification. Board certification is not required to be a practicing veterinarian.
Need undergraduate degree typically vets get ones in fields such as biology or agriculture
Some Vet schools will accept you after 2 years of undergrad
Need/should pursue an education in a field that allows you to develop a solid background in the biological and physical sciences
Maintain a competitive grade-point average (GPA), preferably 3.5 or higher. Also keep in mind most veterinary schoolsNeed undergraduate degree typically vets get ones in fields such as biology or agriculture
Some Vet schools will accept you after 2 years of undergrad
Need/should pursue an education in a field that allows you to develop a solid background in the biological and physical sciences
Maintain a competitive grade-point average (GPA), preferably 3.5 or higher. Also keep in mind most veterinary schools"
Web Developers,"Design websites or web applications.
Write computer programming code.
Update website content.
Create electronic data backup to prevent loss of information.
Test software performance.
Create databases to store electronic data.
Update knowledge about emerging industry or technology trends.
Analyze project data to determine specifications or requirements.
Collaborate with others to resolve information technology issues.
Monitor the security of digital information.
Provide customer service to clients or users.
Document design or development procedures.
Collaborate with others to develop or implement marketing strategies.
Provide technical support for computer network issues.
Configure computer networks.
Recommend changes to improve computer or information systems.
Document network-related activities or tasks.
Develop specifications or procedures for website development or maintenance.
Develop models of information or communications systems.
Evaluate utility of software or hardware technologies.
Provide recommendations to others about computer hardware.
Install computer hardware.
Conduct research to gain information about products or processes.
Develop diagrams or flow charts of system operation.
Develop computer or information security policies or procedures.
Implement security measures for computer or information systems.","Computers and Electronics
English Language
Mathematics
Communications and Media
Customer and Personal Service
Design
Engineering and Technology
Telecommunications
Administration and Management
Administrative
Sales and Marketing","Bootstrap 
Vue.js
Blackboard softwareGraphQ
Apache Subversion SVN Hot Technology
Oracle Java 2 Platform Enterprise Edition J2EE",78580,"Education:
- Professional boot camp
- General certification
- Bachelor's degree
Certifications for web developers
- RedHat Certification
- Oracle certification
- Professional Scrum Developer certification

1. Establish basic web development skills: Before pursuing any training, consider learning basic coding and design skills. This can help you determine if this career path is one that you'd enjoy. Try looking online for free instructional resources to get started. You can then seek out more advanced training if you enjoy doing this work.
2. Consider a training-focused program: If you have limited time or need new skills to improve your portfolio, online programs provide specific coursework that makes part-time learning possible. You can apply to a professional boot camp or certification program to master skills in your chosen area. This type of training can help you specialize in a specific niche, which may help when deciding which jobs you want to apply to in the future.
3. Pursue formal education: Consider earning an AAS or BS in computer science, web development and design or another relevant discipline. You can also earn an associate or bachelor's degree after completing a self-paced study or boot camp. The practical experience with programming languages that you gain through a degree can be helpful when seeking full-time work in this field.
4. Create a portfolio of work: As you complete your training and education, it's a good idea to collect samples of your best work for a portfolio. This allows you to quickly demonstrate your skills and knowledge to hiring managers when you're ready to apply for full-time work. You can also include personal, internship and freelance projects in your portfolio. All of this helps a hiring manager assess your previous experience and your ability to contribute to their organization as a web developer.
5. Study SEO best practices: A growing requirement for web developers is an understanding of search engine optimization. When designing a website, SEO can help drive traffic to the site and connect users with the relevant resources they're looking for. When applying for positions as a web developer, your prospective employers may look for previous SEO-related experience or skills on your resume. You can pursue certifications to boost your resume or study SEO on your own time."
Eugene,Detailed Work Activity,Knowledge,Technology Skills,Average salary,
Aerospace Engineers,"Create models of engineering designs or methods, Test performance of electrical, electronic, mechanical, or integrated systems or equipment.,Design electromechanical equipment or systems.,Direct quality control activities.,Direct design or development activities.,Evaluate designs or specifications to ensure quality.,Inspect equipment or systems.,Investigate system, equipment, or product failures.,Determine design criteria or specifications.,Analyze design or requirements information for mechanical equipment or systems.,Maintain operational records or records systems.,Research engineering applications of emerging technologies.,Evaluate plans or specifications to determine technological or environmental implications.Design systems to reduce harmful emissions.,","Engineering and Technology,Mathematics,Design,Physics,Computers and Electronics,English Language,Mechanical,Production and Processing.",,126880,
"Agents and business Managers of Artist, performers and athletes","Collect payments for goods or services.,Distribute promotional literature or samples to customers.Perform marketing activities.Update professional knowledge.Arrange collective bargaining agreements.Conduct eligibility or selection interviews.Correspond with customers to answer questions or resolve complaints.Develop business relationships.Organize special events.Implement financial decisions.Market products, services, or events.Administer personnel recruitment or hiring activities.Prepare financial documents.Inspect facilities or equipment to ensure specifications are met.Advise others on legal or regulatory compliance matters.Recommend investments to clients.","Customer and Personal Service,Sales and Marketing,English Language,Administration and Management,Fine Arts,Communications and Media,Administrative,Personnel and Human Resources","Accounting software,Analytical or scientific software,Customer relationship management CRM software,Data base user interface and query software,Electronic mail software,Graphics or photo imaging software,Information retrieval or search software,Instant messaging software,Internet browser software,Office suite software,Operating system software,Presentation software,Spreadsheet software,Tax preparation software,Transaction server software,Video conferencing software,Video creation and editing software,Web page creation and editing software,Word processing software",82530,
Agricultural Engineers,"Create graphical representations of mechanical equipment.,Document technical design details.Prepare proposal documents.Discuss designs or plans with clients.Communicate technical information to suppliers, contractors, or regulatory agencies.Advise others regarding green practices or environmental concerns.Prepare detailed work plans.Confer with other personnel to resolve design or operational problems.Design industrial processing systems.Investigate the environmental impact of projects.Test performance of electrical, electronic, mechanical, or integrated systems or equipment.Design structures or facilities.Direct construction activities.Develop operational methods or processes that use green materials or emphasize sustainability.Direct environmental development activities.Design electronic or computer equipment or instrumentation.Train personnel on proper operational procedures.Direct industrial production activities.","Engineering and Technology
Design
Mathematics
Physics
English Language
Computers and Electronics
Food Production
Mechanical
Biology
Building and Construction
Chemistry
Public Safety and Security
Production and Processing
Customer and Personal Service
Education and Training
Administration and Management","Analytical or scientific,Cloud-based data access and sharing software
Computer aided design CAD software
,Data base user interface and query software,Desktop publishing software
Electronic mail software
Enterprise resource planning ERP software
Geographic information system
Graphics or photo imaging software
Industrial control software
Internet browser software
Object or component oriented development software
Office suite software
Presentation software
Project management software
Spreadsheet software
Word processing software",83260,
Agricultural Equipments Operators ,"Load agricultural or forestry products for shipment.
Prepare materials or solutions for animal or plant use.
Apply chemical solutions to plants to protect against disease or insects or to enhance growth.
Inspect equipment or facilities to determine condition or maintenance needs.
Operate farming equipment.
Load materials into equipment for processing.
Direct activities of agricultural, forestry, or fishery employees.
Maintain forestry, hunting, or agricultural equipment.
Confer with managers to make operational decisions.
Measure physical characteristics of forestry or agricultural products.
Plant crops, trees, or other plants.
Record agricultural or forestry inventory data.
Operate conveyors or other industrial material moving equipment.
Attach equipment extensions or accessories.
Operate irrigation systems.",English Language,"Data base user interface and query software
Data base user interface and query software
Enterprise resource planning ERP software
Map creation software
Presentation software
Spreadsheet software",37780,
Agricultural Inspectors,"Establish standards for products, processes, or procedures.
Inspect products or operations to ensure that standards are met.
Mark agricultural or forestry products for identification.
Package agricultural products for shipment or further processing.
Warn individuals about rule violations or safety concerns.
Advise others on farming or forestry operations, regulations, or equipment.
Measure physical characteristics of forestry or agricultural products.
Examine animals to detect illness, injury or other problems.
Maintain operational records.
Direct activities of agricultural, forestry, or fishery employees.
Collect biological specimens.
Send information, materials or documentation.
Identify environmental concerns.
Testify at legal or legislative proceedings.","Customer and Personal Service
Administration and Management
Administrative
Law and Government
Mathematics
Public Safety and Security
English Language","Data base user interface and query software
Data base user interface and query software
Electronic mail software
Graphics or photo imaging software
Internet browser software
Office suite software
Presentation software
Spreadsheet software
Word processing software",44780,
"Agricultural Sciences Teachers, Postsecondary","Attend training sessions or professional meetings to develop or maintain professional knowledge.
Stay informed about current developments in field of specialization.
Advise students on academic or career matters.
Supervise student research or internship work.
Supervise laboratory work.
Research topics in area of expertise.
Teach physical science or mathematics courses at the college level.
Write articles, books or other original materials in area of expertise.
Develop instructional materials.
Evaluate student work.
Guide class discussions.
Develop instructional objectives.
Evaluate effectiveness of educational programs.
Direct department activities.
Administer tests to assess educational needs or progress.
Maintain student records.
Prepare tests.
Perform student enrollment or registration activities.
Promote educational institutions or programs.
Order instructional or library materials or equipment.
Select educational materials or equipment.
Write grant proposals.
Serve on institutional or departmental committees.
Plan community programs or activities for the general public.
Advise educators on curricula, instructional methods, or policies.
Compile specialized bibliographies or lists of materials.","Biology
Education and Training
English Language
Administration and Management
Customer and Personal Service
Food Production
Communications and Media
Mathematics
Geography
Computers and Electronics
Administrative
Personnel and Human Resources
Law and Government
Public Safety and Security","Calendar and scheduling software
Computer based training software
Computer based training software
Computer based training software
Computer based training software
Data base user interface and query software
Data base user interface and query software
Electronic mail software
Electronic mail software
Information retrieval or search software
Information retrieval or search software
Internet browser software
Medical software
Office suite software
Optical character reader OCR or scanning software
Presentation software
Spreadsheet software
Web page creation and editing software
Word processing software
Word processing software
Word processing software",85860,
Agricultural Technicians,"Record research or operational data.
Measure ingredients.
Prepare scientific or technical reports or presentations.
Cultivate land.
Prepare biological samples for testing or analysis.
Set up laboratory or field equipment.
Examine characteristics or behavior of living organisms.
Collect biological specimens.
Manage agricultural or forestry operations.
Supervise scientific or technical personnel.
Train personnel in technical or scientific procedures.
Research sustainable agricultural processes or practices.
Research diseases or parasites.
Maintain laboratory or technical equipment.
Operate farming equipment.
Operate laboratory or field equipment.
Test quality of materials or finished products.
Care for plants or animals.
Provide technical information or assistance to public.
Develop sustainable industrial or development methods.
Prepare compounds or solutions for products or testing.
Research crop management methods.","Mathematics
Biology
Chemistry
Administration and Management
English Language
Administrative
Computers and Electronics
Geography
Education and Training
Mechanical
Personnel and Human Resources","Analytical or scientific software
Data base user interface and query software
Desktop publishing software
Electronic mail software
Electronic mail software
Enterprise resource planning ERP software
Geographic information system
Internet browser software
Mobile location based services software
Office suite software
Operating system software
Presentation software
Spreadsheet software
Word processing software",41760,
Air Traffic Controllers,"Notify others of emergencies, problems, or hazards.
Communicate with others to coordinate vehicle movement.
Coordinate flight control or management activities.
Respond to transportation emergencies.
Direct vehicle traffic.
Monitor vehicle movement or location.
Adjust routes or speeds as necessary.
Direct emergency management activities.
Train transportation or material moving personnel.
Monitor surroundings to detect potential hazards.
Operate communications equipment or systems.
Compile operational data.
Plan flight operations.
Meet with coworkers to communicate work orders or plans.
Choose optimal transportation routes or speeds.
Record operational details of travel.
Review documents or materials for compliance with policies or regulations.","Transportation
English Language
Education and Training
Public Safety and Security
Customer and Personal Service
Geography
Telecommunications
Mathematics
Computers and Electronics","Data base user interface and query software
Document management software
Electronic mail software
Enterprise resource planning ERP software
Expert system software
Expert system software
Expert system software
Flight control software
Flight control software
Flight control software
Flight control software
Office suite software
Presentation software
Spreadsheet software
Web page creation and editing software
Word processing software",132250,
Air Cargo Handling Supervisors,"Calculate weights, volumes or other characteristics of materials.
Direct material handling or moving activities.
Train personnel on proper operational procedures.
Load shipments, belongings, or materials.
Monitor cargo area conditions.","Customer and Personal Service
Public Safety and Security
Transportation
English Language
Administration and Management
Administrative
Personnel and Human Resources
Computers and Electronics
Mathematics
Education and Training
Telecommunications
Production and Processing
Geography","Electronic mail software
Inventory management software
Materials requirements planning logistics and supply chain software
Office suite software
Office suite software
Spreadsheet software
Web page creation and editing software
Word processing software",53490,
Air Carft Mechanics and Technicians,"Inspect mechanical components of vehicles to identify problems.
Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.
Inspect completed work to ensure proper functioning.
Maintain repair or maintenance records.
Read technical information needed to perform maintenance or repairs.
Inspect structural components of vehicles to identify problems.
Operate cranes, hoists, or other moving or lifting equipment.
Repair worn, damaged, or defective mechanical parts.
Test fluids to identify contamination or other problems.
Read work orders or descriptions of problems to determine repairs or modifications needed.
Replace worn, damaged, or defective mechanical parts.
Disassemble equipment to inspect for deficiencies.
Test mechanical equipment to ensure proper functioning.
Apply protective coverings to objects or surfaces near work areas.
Inspect mechanical equipment to locate damage, defects, or wear.
Assemble electrical components, subsystems, or systems.
Install electrical components, equipment, or systems.
Install piping for installation or maintenance activities.
Move large objects using heavy equipment.
Fabricate parts or components.
Lay out work according to specifications.
Clean equipment, parts, or tools to repair or maintain them in good working order.
Service vehicles to maintain functionality.
Lubricate equipment to allow proper functioning.
Reassemble equipment after repair.
Operate heating or drying equipment.
Cut materials according to specifications or needs.
Remove parts or components from equipment.
Align equipment or machinery.
Drill holes in parts, equipment, or materials.
Install machine or equipment replacement parts.
Troubleshoot equipment or systems operation problems.
Observe equipment in operation to detect potential problems.
Maintain inventories of materials, equipment, or products.
Order materials, supplies, or equipment.
Determine operational criteria or specifications.
Communicate with coworkers to coordinate installations or repairs.
Paint surfaces or equipment.","Mechanical
English Language
Engineering and Technology
Customer and Personal Service
Mathematics
Public Safety and Security","Accounting software
Analytical or scientific software
Analytical or scientific software
Computer aided manufacturing CAM software
Data base user interface and query software
Data base user interface and query software
Data base user interface and query software
Document management software
Electronic mail software
Enterprise resource planning ERP software
Enterprise resource planning ERP software
Facilities management software
Facilities management software
Facilities management software
Facilities management software
Information retrieval or search software
Information retrieval or search software
Internet browser software
Inventory management software
Office suite software
Operating system software
Presentation software
Spreadsheet software
Word processing software",70010,
"Aircraft Structure, Service, Rigging and System Assemblers","Assemble metal or plastic parts or products.
Assemble metal structures.
Review blueprints or other instructions to determine operational methods or sequences.
Adjust vehicle components according to specifications.
Cut industrial materials in preparation for fabrication or processing.
Align parts or workpieces to ensure proper assembly.
Inspect installed components or assemblies.
Repair parts or assemblies.
Replace worn equipment components.
Reshape metal workpieces to established specifications.
Trim excess material from workpieces.
Operate metal or plastic forming equipment.
Draw guide lines or markings on materials or workpieces using patterns or other references.
Clean workpieces or finished products.
Assemble electrical or electronic equipment.
Apply lubricants or coolants to workpieces.
Install mechanical components in production equipment.
Signal others to coordinate work activities.
Operate cutting equipment.
Connect supply lines to production equipment or tools.
Assemble electromechanical or hydraulic systems.
Mount attachments or tools onto production equipment.
Mark products, workpieces, or equipment with identifying information.
Measure dimensions of completed products or workpieces to verify conformance to specifications.
Operate welding equipment.
Solder parts or workpieces.
Sort recyclable materials.
Monitor equipment operation to ensure proper functioning.","Mathematics
Education and Training
Mechanical
English Language
Production and Processing
Design
Computers and Electronics
Public Safety and Security","Computer aided design CAD software
Electronic mail software
Enterprise resource planning ERP software
Industrial control software
Office suite software
Spreadsheet software
Word processing software",58430,
Airfield Operations Specialist,"Inspect facilities, equipment or supplies to ensure conformance to standards.
Inspect facilities.
Plan flight operations.
Assist others during emergencies.
Inspect facilities to ensure compliance with security or safety regulations.
Inspect work sites to identify potential environmental or safety hazards.
Confer with coworkers to coordinate maintenance or cleaning activities.
Coordinate operational activities.
Maintain facilities.
Remove snow.
Communicate with others to coordinate vehicle movement.
Coordinate flight control or management activities.
Plan work operations.
Monitor vehicle movement or location.
Pilot aircraft.
Train transportation or material moving personnel.
Record operational details of travel.
Meet with coworkers to communicate work orders or plans.
Review work orders or schedules to determine operations or procedures.","Public Safety and Security
Transportation
English Language
Customer and Personal Service
Education and Training
Telecommunications
Administration and Management
Administrative
Law and Government
Computers and Electronics
Mathematics
Communications and Media","Accounting software
Application server software
Calendar and scheduling software
Cloud-based data access and sharing software
Data base user interface and query software
Data base user interface and query software
Data base user interface and query software
Data base user interface and query software
Electronic mail software
Enterprise application integration software
Enterprise resource planning ERP software
Expert system software
Graphics or photo imaging software
Internet protocol IP multimedia subsystem software
Office suite software
Operating system software
Operating system software
Operating system software
Presentation software
Spreadsheet software
Word processing software",49600,